ABMC,American Battle Monuments Commission
DOD,Department Of Defense
DOE,Department Of Energy
DOI,Department Of The Interior
DOJ,Department Of Justice
DOL,Department Of Labor
DOS,Department Of State
DOT,Department Of Transportation
DRBC,Delaware River Basin Commission
DSCA,Defense Security Cooperation Agency
DSS,Defense Security Service
DTRA,Defense Threat Reduction Agency
EAB,Bureau Of Economic Analysis
EAC,Election Assistance Commission
EBSA,Employee Benefits Security Administration
ECAB,Employees' Compensation Appeals Board
ECSA,Economics And Statistics Administration
ED,Department Of Education
EDA,Economic Development Administration
EEOC,Equal Employment Opportunity Commission
EERE,Energy Efficiency And Renewable Energy Office
EIA,Energy Information Administration
EIB,Export Import Bank Of The United States
EOA,"Energy Office, Agriculture Department"
EOIR,Executive Office For Immigration Review
EOP,Executive Office Of The President
EPA,Environmental Protection Agency
ERS,Economic Research Service
ESA,Employment Standards Administration
ETA,Employment And Training Administration
FAA,Federal Aviation Administration
FAR,Federal Acquisition Regulation
FAS,Foreign Agricultural Service
FASAB,Federal Accounting Standards Advisory Board
FBI,Federal Bureau Of Investigation
FCA,Farm Credit Administration
FCC,Federal Communications Commission
FCIC,Federal Crop Insurance Corporation
FCSIC,Farm Credit System Insurance Corporation
FDA,Food And Drug Administration
FDIC,Federal Deposit Insurance Corporation
FEC,Federal Election Commission
FEMA,Federal Emergency Management Agency
FERC,Federal Energy Regulatory Commission
FFIEC,Federal Financial Institutions Examination Council
FHEO,Fair Housing And Equal Opportunity
FHFA,Federal Housing Finance Agency
FHFB,Federal Housing Finance Board
FHWA,Federal Highway Administration
FINCEN,Financial Crimes Enforcement Network
FINCIC,Financial Crisis Inquiry Commission
FISCAL,Fiscal Service
FLETC,Federal Law Enforcement Training Center
FLRA,Federal Labor Relations Authority
FMC,Federal Maritime Commission
FMCS,Federal Mediation And Conciliation Service
FMCSA,Federal Motor Carrier Safety Administration
FNS,Food And Nutrition Service
FPPO,Federal Procurement Policy Office
FR,Office Of The Federal Register
FRA,Federal Railroad Administration
FRS,Federal Reserve System
FRTIB,Federal Retirement Thrift Investment Board
FS,Forest Service
FSA,Farm Service Agency
FSIS,Food Safety And Inspection Service
FTA,Federal Transit Administration
FTC,Federal Trade Commission
FTZB,Foreign Trade Zones Board
FWS,Fish And Wildlife Service
GAO,Government Accountability Office
GEO,Government Ethics Office
GIPSA,"Grain Inspection, Packers And Stockyards Administration"
GPO,Government Printing Office
GSA,General Services Administration
HHS,Department Of Health And Human Services
HHSIG,"Inspector General Office, Health And Human Services Department"
HOPE,Board Of Directors Of The Hope For Homeowners Program
HPAC,"Historic Preservation, Advisory Council"
HRSA,Health Resources And Services Administration
HST,Harry S. Truman Scholarship Foundation
HUD,Department Of Housing And Urban Development
IAF,Inter American Foundation
ICEB,Immigration And Customs Enforcement Bureau
IHS,Indian Health Service
IIO,International Investment Office
IRS,Internal Revenue Service
ISOO,Information Security Oversight Office
ITA,International Trade Administration
ITC,International Trade Commission
JBEA,Joint Board For Enrollment Of Actuaries
LMSO,Labor Management Standards Office
LOC,Library Of Congress
LSC,Legal Services Corporation
MARAD,Maritime Administration
MBDA,Minority Business Development Agency
MCC,Millennium Challenge Corporation
MDA,Missile Defense Agency
MISS,Mississippi River Commission
MKU,Morris K. Udall Scholarship And Excellence In National Environmental Policy Foundation
MMC,Marine Mammalcommission
MMS,Minerals Management Service
MSHA,Mine Safety And Health Administration
MSHFRC,Federal Mine Safety And Health Review Commission
MSPB,Merit Systems Protection Board
NARA,National Archives And Records Administration
NASA,National Aeronautics And Space Administration
NASS,National Agricultural Statistics Service
NCA,National Cemetery Administration
NCD,National Council On Disability
NCLIS,National Commission On Libraries And Information Science
NCPPCC,National Crime Prevention And Privacy Compact Council
NCS,National Communications System
NCUA,National Credit Union Administration
NEC,National Economic Council
NEIGHBOR,Neighborhood Reinvestment Corporation
NHTSA,National Highway Traffic Safety Administration
NIFA,National Institute Of Food And Agriculture
NIGC,National Indian Gaming Commission
NIH,National Institutes Of Health
NIL,National Institute For Literacy
NIST,National Institute Of Standards And Technology
NLRB,National Labor Relations Board
NMB,National Mediation Board
NNSA,National Nuclear Security Administration
NOAA,National Oceanic And Atmospheric Administration
NPREC,National Prison Rape Elimination Commission
NPS,National Park Service
NRC,Nuclear Regulatory Commission
NRCS,Natural Resources Conservation Service
NSA,National Security Agency/Central Security Service
NSF,National Science Foundation
NTIA,National Telecommunications And Information Administration
NTSB,National Transportation Safety Board
NWTRB,Nuclear Waste Technical Review Board
OCC,Comptroller Of The Currency
ODNI,Office Of The Director Of National Intelligence
OEPNU,Office Of Energy Policy And New Uses
OFAC,Office Of Foreign Assets Control
OFCCP,Office Of Federal Contract Compliance Programs
OFHEO,Federal Housing Enterprise Oversight Office
OFPP,Office Of Federal Procurement Policy
OJJDP,Juvenile Justice And Delinquency Prevention Office
OJP,Justice Programs Office
OMB,Office Of Management And Budget
ONDCP,Office Of National Drug Control Policy
ONHIR,Office Of Navajo And Hopi Indian Relocation
OPIC,Overseas Private Investment Corporation
OPM,Office Of Personnel Management
OPPM,Office Of Procurement And Policy Management
OSC,Office Of Special Counsel
OSHA,Occupational Safety And Health Administration
OSHRC,Occupational Safety And Health Review Commission
OSM,Office Of Surface Mining Reclamation And Enforcement
OSTP,Office Of Science And Technology Policy
OTS,Office Of Thrift Supervision
PACIFIC,Pacific Northwest Electric Power And Conservation Planning Council
PBGC,Pension Benefit Guaranty Corporation
PC,Peace Corps
PHMSA,Pipeline And Hazardous Materials Safety Administration
PHS,Public Health Service
PRC,Postal Regulatory Commission
PRES,Presidential Documents
PT,Presidio Trust
PTO,Patent And Trademark Office
RATB,Recovery Accountability And Transparency Board
RBS,Rural Business Cooperative Service
RHS,Rural Housing Service
RISC,Regulatory Information Service Center
RITA,Research And Innovative Technology Administration
RMA,Risk Management Agency
RRB,Railroad Retirement Board
RTB,Rural Telephone Bank
RUS,Rural Utilities Service
SAMHSA,Substance Abuse And Mental Health Services Administration
SBA,Small Business Administration
SEC,Securities And Exchange Commission
SIGIR,Special Inspector General For Iraq Reconstruction
SJI,State Justice Institute
SLSDC,Saint Lawrence Seaway Development Corporation
SRBC,Susquehanna River Basin Commission
SSA,Social Security Administration
SSS,Selective Service System
STB,Surface Transportation Board
SWPA,Southwestern Power Administration
TA,Technology Administration
TREAS,Department Of The Treasury
TSA,Transportation Security Administration
TTB,Alcohol And Tobacco Tax And Trade Bureau
TVA,Tennessee Valley Authority
URMCC,Utah Reclamation Mitigation And Conservation Commission
USA,Army Department
USAF,Air Force Department
USAID,United States Agency For International Development
USBC,Bureau Of The Census
USCBP,Customs And Border Protection Bureau
USCC,U.S. China Economic And Security Review Commission
USCERT,United States Computer Emergency Readiness Team
USCG,Coast Guard
USCIS,U.S. Citizenship And Immigration Services
USDA,Department Of Agriculture
USEIB,Export Import Bank
USGS,U.S. Geological Service
USHMM,United States Holocaust Memorial Museum
USIP,United States Institute Of Peace
USJC,Judicial Conference Of The United States
USMINT,United States Mint
USN,Navy Department
USPC,Parole Commission
USPS,Postal Service
USSC,United States Sentencing Commission
USSS,Secret Service
USTR,Office Of United States Trade Representative
USUHS,Uniformed Services University Of The Health Sciences
VA,Department Of Veterans Affairs
VCNP,Valles Caldera Trust
VETS,Veterans Employment And Training Service
WAPA,Western Area Power Administration
WCPO,Workers Compensation Programs Office
WHD,Wage And Hour Division
AID,United States Agency For International Development
BOEM,Bureau of Ocean Energy Management
FSOC,Financial Stability Oversight Council
OFR,Office of the Federal Register
ONRR,Office of Natural Resources Revenue
USC,United States Courts


